,0,1,2,3
"(0, 0)",-4.803310038348546,-104.00908010457782,-76.86634358182184,-4.8089333173741435
"(1, 0)",-4.801409022288279,-102.19894040858273,-4.8043488628703495,-52.92313574734016
"(0, 1)",-53.90216138337891,-4.799800169655677,-101.63661109206595,-4.797683691945172
"(1, 1)",-4.79158513608091,-4.8001496400968096,-4.796839534764772,-4.791984548567088
"(2, 1)",-46.575353978312215,-46.41999256006832,-4.783330109886748,-4.78777258135523
"(3, 1)",-4.7744406732254845,-49.82620782475964,-4.783744894080225,-4.777278399099453
"(3, 2)",-4.772420803989062,-4.774984116584472,-52.477130711648655,-39.62516203776933
"(1, 2)",-4.793380779634397,-4.793204111100248,-52.3717363642205,-46.41091017907338
"(1, 3)",-46.49996762428408,-4.793900406151458,-46.658093771258294,-25.0
"(4, 1)",-52.06734379737614,-51.64155881640826,-4.771206543013954,-4.773510398997739
"(3, 3)",-4.773100993545445,-4.780060684858922,-50.24351377164115,-49.64154898225223
"(5, 1)",-4.782189534364274,-52.92628666719932,-4.772680579666284,-4.778526306328538
"(5, 2)",-4.784250723638215,-4.782887472371951,-50.01603889400794,-39.536559233497016
"(5, 3)",-46.804758747476725,-4.784313657795623,-45.88271512589228,-39.43415252842655
"(6, 1)",-39.627456548296244,-53.03688304538181,-4.777492288776496,-4.77225023760653
"(7, 1)",-4.764856296748107,-51.913455531295924,-4.7710556475041965,-39.42479377224376
"(7, 2)",-4.766697454486865,-4.761925202401185,-39.42230230302344,-46.75976054442573
"(7, 3)",-50.93964423895146,-4.763518838958369,-51.792148985929614,-4.758196969746825
"(8, 3)",-53.08736412789015,-46.51019994102188,-4.7534615134069576,-4.748810637293042
"(9, 3)",-45.96255502506165,-4.755486484496162,-4.740819315878079,-4.7392150122207735
"(10, 3)",-45.117219860217396,-39.61825839243778,-4.7390587305375576,-4.737563101484413
"(11, 3)",-38.77041390629733,-50.539489480280935,-4.734473591273307,-4.726922505455821
"(3, 4)",-4.772496979151583,-4.779135850626636,-49.31799751416126,-38.89499677363477
"(3, 5)",-4.770832120727777,-4.777512349115635,-45.83482323175538,-46.6986976834536
"(3, 6)",-4.772793379314795,-4.777135532679312,-49.69239886729735,-49.97148351241107
"(3, 7)",-4.774211974921615,-4.7782570078927815,-4.780267358494093,-4.7755795835900585
"(3, 8)",-4.773383487557428,-4.778390422907689,-50.030154316516224,-50.22715993204932
"(4, 7)",-51.762055733263566,-52.83811039842888,-4.7795027154987135,-4.773560565164085
"(2, 7)",-53.208495306703284,-53.953835034000576,-4.786742620775225,-4.781736779311238
"(1, 7)",-52.92356069920186,-4.782140059446808,-52.31683164348502,-4.787348375034269
"(1, 6)",-4.785689602821511,-4.788082688731434,-39.01414459044377,-50.165243036383956
"(1, 5)",-4.7885629973738215,-39.5676934315242,-39.52864672550663,-46.97274408142097
"(5, 7)",-4.775612400936584,-52.79661958773188,-4.780314786057685,-46.38569120540856
"(5, 8)",-4.77916711310268,-4.779038660410134,-52.00644959642388,-50.58936190388363
"(3, 9)",-4.774262049526527,-4.779794740721858,-4.774931805385606,-49.58532758048945
"(3, 10)",-4.777381856499667,-4.777004979180527,-52.717028361455846,-49.813818391056024
"(2, 9)",-51.71827206418103,-46.0920548409145,-4.764229898838323,-4.777504684206415
"(5, 9)",-25.0,-4.77571729350059,-38.941432638416146,-4.7721473928361915
"(6, 9)",-46.63336540448296,-49.602726350412446,-4.77809978488946,-4.774719927154407
"(7, 9)",-39.608201584296864,-46.664579739005674,-4.779379755074175,-38.58081175266008
"(1, 9)",-25.0,-46.70605309654332,-39.50083162622066,-4.7648877131646925
"(3, 11)",-4.781864844802561,-4.780373903076622,-53.758563369779864,-39.49695801178882
"(3, 12)",-4.780801834721391,-4.783177587035443,-50.818572881380526,-51.87744516546012
"(3, 13)",-45.882908784009324,-4.786565674817651,-4.7875714606011766,-50.557984433900245
"(2, 13)",-50.344960636451404,-53.24780971784065,-4.783849745765134,-4.791011891370022
"(1, 13)",-4.779025866355856,-4.779796239264648,-46.72771034367633,-4.791428700626017
"(1, 12)",-4.781321394887856,-4.780381975296877,-49.21080153173398,-38.0544196875
"(1, 11)",-4.780852711951528,-25.0,-39.64607470285543,-51.4473983483701
"(1, 14)",-4.778099837284041,-4.786663606238051,-51.24078699197085,-46.74100350293596
"(1, 15)",-53.71490953328208,-4.785384261110436,-52.911972603234446,-4.780283571791193
"(2, 15)",-49.984247359585375,-49.85508871707991,-4.787294357747223,-4.781677855856506
"(3, 15)",-48.70804379104641,-39.18294449106503,-4.787719190151478,-4.784578287213632
"(4, 15)",-53.89301142354177,-53.10959370117806,-4.787312233659147,-4.786929240382465
"(5, 15)",-38.43364448941796,-37.8906421875,-4.787451441147008,-39.55018459430483
"(9, 2)",-4.750966065086063,-4.744018041438805,-38.751032849702895,-52.31405131589476
"(9, 1)",-4.7446997017543655,-38.66277761215749,-39.36419546689068,-4.733112011144668
"(10, 1)",-46.77420613556099,-39.58049195311827,-4.7339801823353,-4.735068675119775
"(11, 1)",-39.503493763324485,-38.99902817424842,-4.735266022049938,-25.0
"(12, 3)",-52.14273492432605,-25.0,-4.723058455284088,-4.7122512948331305
"(13, 3)",-4.700320349135323,-4.703465095783637,-4.702388481097104,-4.707390275971458
"(13, 2)",-4.706371658817001,-4.694447186556804,-39.546017545248134,-52.11541578916335
"(14, 3)",-50.105428770257674,-45.994766645053254,-4.707790644663087,-4.695041281434676
"(13, 4)",-4.697348646979516,-4.68865198469946,-51.91169586178751,-46.28847357843575
"(13, 5)",-4.686812514903089,-4.695888804349255,-50.13085477076482,-4.681371235581208
"(13, 6)",-4.67437416393105,-4.669293198193435,-53.817846305729695,-51.914061367874545
"(15, 3)",-51.87417225484663,-38.53832691279926,-4.696316182728981,-49.53741834099425
"(14, 5)",-49.931200440384224,-51.812215213376284,-4.686105231863344,-4.682342895562722
"(15, 5)",-25.0,-39.358747576927016,-4.682645939775265,-46.78999251722418
"(13, 7)",-51.80355954806602,-4.655644065678318,-4.6544270666520084,-4.649952034972715
"(12, 7)",-52.55685518154684,-53.72384712516552,-4.646474808849215,-4.647002104499007
"(11, 7)",-4.6484986626766265,-4.638995369518008,-53.33749905981935,-4.641958164816403
"(11, 6)",-4.650725731039374,-4.6430671196610085,-39.54710443743719,-51.84138824170219
"(11, 5)",-4.649329885572291,-46.28007117192616,-4.637101039974411,-51.280945925181314
"(10, 5)",-50.44623449470596,-53.69353358573708,-4.637397072930491,-4.640100881983635
"(9, 5)",-4.638310795299793,-52.85746567558161,-4.654095006587375,-4.649631267313219
"(9, 6)",-4.636868816277203,-4.641047652896141,-50.14599145629769,-51.98536475600634
"(9, 7)",-51.44160537819001,-4.647135364612612,-4.61561282061082,-38.78108322700794
"(8, 7)",-50.335980431165595,-52.95683166526196,-4.61665621951862,-4.631839007779853
"(7, 7)",-25.0,-25.0,-46.33155954471378,-4.62618414660559
"(11, 8)",-4.63669215279076,-4.63529634503816,-39.57512718036655,-50.37995939568966
"(11, 9)",-39.072216755092015,-4.62611405560798,-46.549397945338896,-4.621530340237236
"(13, 1)",-4.704423718709254,-39.541919969249854,-46.53255797141163,-4.697151733986955
"(14, 1)",-49.60449952021636,-50.09099224244382,-4.707511065650329,-4.699309117053363
"(15, 1)",-50.40661999813241,-48.93108465698646,-4.709019127766292,-4.707274809944927
"(16, 1)",-39.60710244722736,-25.0,-4.708156687496167,-4.703480203554122
"(17, 1)",-4.701413751847404,-53.09621759193167,-4.7057894575787635,-4.7035610809803945
"(18, 1)",-49.25451544566213,-49.9983354907688,-4.7101953416745115,-4.708625682768934
"(19, 1)",-4.716467258338372,-53.0059766391833,-4.714268542566015,-4.704878024097875
"(20, 1)",-50.16041135183134,-46.85649807961856,-4.712138356412317,-4.697214350128503
"(19, 2)",-4.704635814865746,-4.717519142172751,-50.379632507624805,-49.67974486265685
"(19, 3)",-39.45070831571254,-4.706978462978943,-38.55198178508073,-25.0
"(17, 2)",-4.71268423553842,-4.711279017209907,-38.58876373469393,-50.26881129682045
"(17, 3)",-39.43725640062257,-4.713430578977503,-25.0,-38.2907072039209
"(21, 1)",-4.687614566396135,-53.02401343050789,-4.704945931914869,-52.050871308865325
"(21, 2)",-4.677911614600276,-4.69458169015167,-49.96482881860783,-46.78858526740813
"(21, 3)",-4.676164589057224,-4.687422793745849,-46.58393303256127,-38.70160486201586
"(21, 4)",-4.680421053688464,-4.686093998814167,-52.82140880418602,-51.70773205731119
"(21, 5)",-4.683652885322987,-4.686071080504545,-39.09882622882985,-51.761434499466944
"(14, 7)",-46.049922195824124,-45.14741844987615,-4.659244338282335,-4.64135201161567
"(15, 7)",-25.0,-25.0,-4.649392743269779,-46.43715240994275
"(8, 5)",-25.0,-39.275877692240876,-4.661296838777485,-4.657053122551243
"(7, 5)",-43.974999999999994,-45.997428094279435,-4.654581979742263,-4.664424078222053
"(6, 5)",-46.21756989575365,-37.9482706640625,-4.6679878384316,-4.6654377654109105
"(5, 5)",-38.925401982278366,-25.0,-46.66348429220014,-4.669179314917427
"(12, 9)",-39.508969421002234,-46.65562184460427,-4.605331390532797,-4.606966720930321
"(13, 9)",-4.587270433689352,-53.01847814868002,-4.588706436582735,-51.08517619564272
"(13, 10)",-4.561992651473666,-4.574452011081097,-39.03425544971448,-39.42490960864292
"(13, 11)",-52.71161948527099,-4.558933080432286,-4.543925636739407,-4.554549059061696
"(12, 11)",-45.73212066677664,-39.5175157394667,-4.527105873649067,-4.521569003092675
"(14, 11)",-49.92292019714622,-52.65346052411355,-4.560251860638754,-4.561579371654503
"(15, 11)",-46.07015076336414,-4.561550041189827,-4.5687094862870214,-4.55756579730436
"(15, 10)",-4.567750283076371,-4.538654716944249,-38.777739482010965,-38.14322623828125
"(15, 9)",-4.550843351491195,-51.523236010761806,-49.977768020763946,-4.541553333582974
"(16, 11)",-52.528823628435845,-38.9328920341899,-4.5714560249976675,-4.57459250409156
"(17, 11)",-50.938520526078165,-46.25538298602194,-4.576398023305121,-39.251676268187595
"(16, 9)",-53.493179835384886,-49.312834878799634,-4.553899396887581,-4.539396236111889
"(17, 9)",-39.05272437870289,-4.510396083184652,-4.5517534248099665,-50.740044102335595
"(17, 8)",-4.523640794409015,-4.520116085651472,-39.08727597549218,-45.02960976386312
"(17, 7)",-4.528911948794843,-4.5166966298660345,-46.56039659571853,-49.83241984405606
"(17, 6)",-4.5289930324216225,-4.516819610075125,-38.66062996115927,-51.537551999049604
"(17, 5)",-4.5252558700574514,-50.09994500196345,-38.86339403193408,-4.521587156431831
"(18, 5)",-25.0,-25.0,-4.526852935185735,-4.526336159315527
"(19, 5)",-46.64651782700844,-45.68098441466087,-4.527776161511133,-25.0
"(11, 11)",-4.505499142108062,-45.69056961820745,-4.520164886785591,-4.50292148978844
"(10, 11)",-25.0,-46.766474786598906,-4.507473066165565,-4.525460413584611
"(11, 12)",-4.481396927192854,-4.485163605442235,-49.88715839882743,-38.97551666324402
"(9, 11)",-25.0,-4.514030695850048,-51.782438792361745,-4.52645917606546
"(9, 10)",-4.529198504038501,-4.515345103095333,-46.69626964696889,-52.553641542613164
"(9, 9)",-4.52707307408904,-39.22461639142891,-25.0,-45.623447419666064
"(11, 13)",-46.006398141298476,-4.460646384970155,-4.445794864265908,-4.451671460283318
"(10, 13)",-49.76624867699745,-51.89076631505956,-4.448246000209085,-4.450493740525852
"(9, 13)",-45.71771164425374,-49.63292567756243,-39.30916694449593,-4.450310553633905
"(12, 13)",-52.7574107788586,-49.87485346423332,-4.4388908814405195,-4.413049589504041
"(13, 13)",-4.38020591154489,-46.56755427654468,-4.379879977655926,-4.374022710961428
"(14, 13)",-50.45775475025392,-45.46326911912676,-4.379705858793345,-4.379932854176349
"(13, 14)",-4.337719624961192,-4.366713047040838,-25.0,-46.56438977074443
"(15, 13)",-39.3382074713015,-45.83298883150407,-4.380482650007323,-44.757641775634525
"(13, 15)",-51.59012193579184,-4.326362989387629,-4.282347181585219,-4.309851517412829
"(14, 15)",-38.525854114138056,-45.43927284341909,-4.310747504315863,-4.278586523225912
"(15, 15)",-25.0,-25.0,-4.268685254813958,-4.270895719761624
"(12, 15)",-50.033806043191404,-39.387757791693716,-4.202132347830775,-4.226282956976846
"(11, 15)",-4.050578122332146,-53.053009412565714,-4.134666777895806,-4.18354358760394
"(16, 15)",-51.838537342790914,-38.10096984960937,-4.284159804779581,-4.276782224679048
"(17, 15)",-25.0,-25.0,-4.284464800699931,-37.5
"(10, 15)",-25.0,-51.50305939860657,-4.158554574989951,-4.169957324639077
"(9, 15)",-44.13109375,-45.86027956272921,-4.153009328163076,-4.179913883924601
"(11, 16)",-3.7379112676486805,-4.062162576131479,-51.53621719038049,-51.38054758834681
"(11, 17)",-45.159903810674194,-3.9705842679202106,-4.0143081770256686,-3.0482963721181897
"(10, 17)",-25.0,-39.19022443132337,-3.993220688425209,-4.0164440255983695
"(9, 17)",-3.9969632878856327,-52.01437372937173,-37.719375,-3.9994338168304706
"(9, 18)",-4.022693785216344,-3.991655978674756,-44.4111625,-25.0
"(9, 19)",-38.78399052787812,-4.024091657676559,-25.0,-25.0
"(12, 17)",-45.01197184726442,-52.355409093906204,-3.985963328173871,-1.8237131979954293
"(13, 17)",0.00032969294700258,-49.280172685679574,-3.738016172289554,-39.13726418477367
"(13, 18)",2.707586063705807,-2.8886202575646194,-47.79906781760486,-44.89765234755002
"(13, 19)",6.403894148063389,-3.497198616421505,-3.5150020239216473,-25.0
"(12, 19)",-38.39578683921313,-45.77364677184941,-3.4946880153722026,-3.5285638541403586
"(13, 20)",10.839766847446587,-3.4074731351416925,-49.39357795306032,-44.77138989454154
"(8, 15)",-39.12372168859031,-46.39026174280344,-4.140247032083948,-4.182219073880119
"(7, 15)",-4.142259663696432,-4.155726029920434,-38.90495054092841,-4.1663752903364815
"(7, 14)",-4.167418773521964,-4.1568084154454645,-38.92819982623706,-45.947190509375474
"(7, 13)",-4.1773576812257405,-4.153055075171401,-4.20494488309085,-53.01996812594875
"(6, 13)",-25.0,-38.518375325167625,-4.170085921280568,-4.193210710084927
"(7, 16)",-4.105247118474757,-4.149870264095635,-39.03913808139747,-25.0
"(7, 17)",-4.099639659958949,-4.090221656555981,-37.74215625,-45.9144038391708
"(7, 18)",-4.07903360403558,-4.120264812199142,-45.79039158913973,-25.0
"(7, 19)",-49.22657076214821,-4.111842179173668,-4.096335214420348,-45.74617783337207
"(6, 19)",-50.72617350739269,-49.20688413681356,-4.0901444645058955,-4.116028239229956
"(5, 19)",-4.102072868622669,-4.0839012484000525,-4.087252605031745,-4.11780490041793
"(5, 20)",-4.0870079203646785,-4.110628840464511,-25.0,-49.42501330865373
"(5, 21)",-48.862367266571646,-4.109129102261216,-25.0,-4.086957156020708
"(6, 21)",-48.719690000258716,-25.0,-4.1181584579841815,-4.137631838930786
"(4, 19)",-37.86028125,-38.062181449218755,-4.074605206026612,-4.10192804365833
"(5, 18)",-4.087468322145688,-4.046381124165503,-51.07839622308062,-39.24986352294583
"(5, 17)",-4.058728010651201,-44.93604006608555,-4.020875916928937,-48.41092150438456
"(3, 19)",-4.067055964622702,-25.0,-38.495813179870574,-4.094358048718902
"(4, 17)",-39.18248103195258,-45.116579190727435,-3.966807138428254,-4.0380821568274445
"(3, 17)",-25.0,-49.524603237182944,-3.9671320948281976,-4.010898343525617
"(2, 17)",-39.261404644749796,-46.25466324084816,-3.971546586501216,-4.006419273637403
"(7, 21)",-49.31621764176115,-38.0141977734375,-4.1418196537216065,-4.155828129597776
"(8, 21)",-25.0,-46.32747183311897,-4.157873725114371,-4.127342287681626
"(9, 21)",-45.956786235585554,-45.59051832396144,-4.1351147250986005,-39.34051832396144
"(3, 20)",-4.062612316654833,-4.079988731442971,-48.438967316873615,-37.5
"(3, 21)",-39.124799353082956,-4.068635317374204,-38.257615418635254,-25.0
