,0,1,2,3
"(0, 0)",-3.304532501149568,-50.0,-50.0,-3.335581605610194
"(0, 1)",-25.0,-3.3490098480544237,-76.01280229813449,-3.3387802605181056
"(1, 1)",-48.36246735976714,-3.2521809666678383,-3.38901496393648,-3.2894626271456477
"(1, 0)",-3.3061864835939083,-88.30366733166991,-3.2438939561692837,-45.40438569828838
"(2, 1)",-38.77370236477962,-49.714934858010345,-3.211063200709801,-3.264198297957006
"(3, 1)",-3.2610301936525135,-25.0,-3.1900534637629443,-3.2131275276516593
"(4, 1)",-50.432692235115795,-38.62380028533971,-3.1738885121329092,-3.1499513812926203
"(3, 2)",-3.2569061567163162,-3.2508771557474407,-37.810781250000005,-25.0
"(3, 3)",-3.2672238732581818,-3.307771786980595,-3.286072667584471,-45.03327286358592
"(5, 1)",-3.0599331328777186,-38.30511720154321,-3.1222518413604554,-3.0528146035513224
"(6, 1)",-25.0,-25.0,-3.0967066929144806,-3.0764345331446004
"(5, 2)",-3.0282105295163984,-3.018556760824066,-44.62559161785156,-44.51590411785156
"(3, 4)",-3.2835408051238577,-3.3003466586635946,-37.7446875,-38.58190118310116
"(3, 5)",-25.0,-3.3131720952182704,-38.83179717661356,-25.0
"(2, 3)",-38.53142773107878,-38.63024271872564,-3.305968672846078,-3.306853246595221
"(1, 3)",-38.68091036475249,-25.0,-38.13810650654297,-3.3072780622499725
"(5, 3)",-2.8894702693472545,-3.0648777353213217,-38.150961049965815,-37.7446875
"(7, 1)",-47.778122616327494,-25.0,-3.1114301192291123,-37.5
"(5, 4)",-2.7740824189296918,-2.966154248391661,-25.0,-48.81419252267841
"(5, 5)",-2.6004975377913007,-2.7482826807119247,-44.87564841228529,-2.7431356344112903
"(6, 5)",-44.27586015625,-25.0,-2.715656762756129,-2.7291538336928065
"(5, 6)",-2.0445836797787917,-2.397467284149761,-25.0,-25.0
"(7, 5)",-25.0,-44.794328486816404,-2.7646609808626357,-2.71754364036623
"(8, 5)",-25.0,-25.0,-2.765653136970304,-2.7096928878906885
"(9, 5)",-38.036783203125,-2.7008139703973777,-2.7718778280268817,-25.0
"(9, 4)",-2.777869235374135,-2.697725279263687,-44.929084933177975,-44.976413279456786
"(5, 7)",-38.0074428515625,-2.2566031149614134,-2.2082931978725506,0.2613066629063405
"(4, 7)",-25.0,-25.0,-2.1937194362074055,-2.255986620002269
"(6, 7)",-43.8831678514489,-44.3828592578125,-2.1130461481871157,6.9606198424964925
"(7, 7)",20.305874777946478,-25.0,-1.781889735185547,-1.7492573708637695
"(7, 8)",39.200071937561034,-1.6382398209960938,-37.66875,-25.0
"(3, 7)",-2.1795541219434265,-25.0,-2.2764554817816527,-2.2740436279095886
"(2, 7)",-48.2979943730047,-25.0,-2.2553618608969512,-2.302423351399793
"(1, 7)",-25.0,-2.2300648748074563,-25.0,-2.3250082233669493
"(1, 6)",-2.306386639849279,-2.274985103127708,-38.44679095070117,-25.0
"(3, 8)",-2.198790016711853,-2.2739339754414183,-37.9236890625,-25.0
"(3, 9)",-38.40216071980225,-2.290096545504247,-2.2398849708337023,-2.241403422430472
"(2, 9)",-25.0,-25.0,-2.263108922872931,-2.2586284895926134
"(1, 9)",-37.907109375000005,-37.907109375000005,-25.0,-2.2738234838117313
"(4, 9)",-25.0,-25.0,-2.307492583631488,-2.2717508401437603
"(5, 9)",-25.0,-25.0,-2.3115729163557557,-25.0
"(1, 5)",-2.2924757502435487,-25.0,-25.0,-25.0
"(8, 7)",-25.0,-38.16284347324219,-1.8124962772216797,-1.7854170168749999
"(9, 7)",-25.0,-25.0,-1.809049532885742,-25.0
"(7, 9)",-44.11984375,-1.2072084374999998,-25.0,59.27737216186524
"(8, 9)",-25.0,-25.0,-0.8642828124999999,76.1763916015625
"(9, 9)",-0.375,-25.0,-0.54375,88.8409423828125
"(10, 9)",99.90234375,0.0,38.476611328125,0.0
"(9, 10)",0.0,-0.3625,-25.0,50.0
"(10, 10)",0.0,0.0,0.0,0.0
"(9, 3)",-2.7733396263741987,-2.6991760263799907,-2.7224921016076156,-38.201429421972655
"(9, 2)",-2.726388198795525,-2.7197144277399654,-25.0,-25.0
"(8, 3)",-25.0,-25.0,-2.747081580843319,-2.7668637208266293
"(7, 3)",-25.0,-25.0,-25.0,-2.763745575221078
"(9, 1)",-2.7395170752508835,-25.0,-25.0,-25.0
