,0,1,2,3
"(0, 0)",-0.8765624999999999,-50.0,-50.0,-0.713125
"(0, 1)",-25.0,-0.8455937499999999,-50.0,-0.8006249999999999
"(1, 1)",-25.0,-0.60625,-0.7075,-0.8259375
"(1, 0)",-0.6625,-75.1125,-0.656875,-25.0
"(2, 1)",-25.0,-47.1478125,-0.7665625,-0.8259375
"(3, 1)",-0.800625,-25.0,-0.74125,-0.7978125
"(4, 1)",-25.0,-25.0,-0.7384374999999999,-0.60625
"(3, 2)",-0.7978125,-0.89090625,-37.810781250000005,-25.0
"(3, 3)",-0.84871875,-0.94265625,-0.8589703125,-25.0
"(5, 1)",-0.55,-25.0,-0.4875,-0.656875
"(6, 1)",-25.0,-25.0,-0.690625,-0.713125
"(5, 2)",-0.60625,-0.4875,-25.0,-37.5
"(3, 4)",-0.9107343749999999,-0.9757031249999999,-37.7446875,-25.0
"(3, 5)",-25.0,-0.9630328124999998,-25.0,-25.0
"(2, 3)",-25.0,-25.0,-0.9335156249999998,-0.7640625000000001
"(1, 3)",-25.0,-25.0,-25.0,-0.94265625
"(5, 3)",-0.656875,-0.54375,-25.0,-25.0
"(7, 1)",-43.75,-25.0,-0.7384374999999999,-37.5
"(5, 4)",-0.6625,-0.54375,-25.0,-25.0
"(5, 5)",-0.60625,-0.538125,-37.6125,-0.375
"(6, 5)",-25.0,-25.0,-0.4875,-0.375
"(5, 6)",-0.60625,-0.4875,-25.0,-25.0
"(7, 5)",-25.0,-25.0,-0.4875,-0.375
"(8, 5)",-25.0,-25.0,-0.4875,-0.25
"(9, 5)",0.0,-0.25,-0.25,-25.0
"(9, 4)",-0.25,0.0,0.0,0.0
"(5, 7)",-25.0,-0.54375,-0.4375,-0.60625
"(4, 7)",-25.0,-25.0,-0.8259375,-0.60625
"(6, 7)",-25.0,-25.0,-0.594375,-0.55
"(7, 7)",-0.60625,-25.0,-0.538125,-0.375
"(7, 8)",-0.60625,-0.54375,-37.66875,-25.0
"(3, 7)",-0.8259375,-25.0,-0.7978125,-0.8540625
"(2, 7)",-25.0,-25.0,-0.800625,-0.90328125
"(1, 7)",-25.0,-0.8433750000000001,-25.0,-0.9769687499999999
"(1, 6)",-0.9630328124999998,-0.94996875,-25.0,-25.0
"(3, 8)",-0.8259375,-0.94153125,-25.0,-25.0
"(3, 9)",-25.0,-0.95671875,-0.84871875,-0.9095953125
"(2, 9)",-25.0,-25.0,-0.8993437499999999,-0.8768437499999999
"(1, 9)",-25.0,-25.0,-25.0,-0.9046875
"(4, 9)",-25.0,-25.0,-1.013671875,-1.1903835156249998
"(5, 9)",-25.0,-25.0,-1.12152578125,-25.0
"(1, 5)",-0.9669843749999999,-25.0,-25.0,-25.0
"(8, 7)",-25.0,-25.0,-0.4875,-0.25
"(9, 7)",-25.0,0.0,-0.3625,-25.0
"(7, 9)",-25.0,-0.54375,-25.0,-0.55
"(8, 9)",-25.0,-25.0,-0.538125,-0.55
"(9, 9)",-0.375,-25.0,-0.54375,-0.25
"(10, 9)",0.0,0.0,-0.25,0.0
"(9, 10)",0.0,-0.3625,-25.0,50.0
"(10, 10)",0.0,0.0,0.0,0.0
