,0,1,2,3
"(0, 0)",-4.95800448895406,-104.29199807692704,-102.69940004658278,-4.958013702159975
"(1, 0)",-4.957160464316334,-103.28681865935562,-4.957832236914928,-53.685472881297734
"(0, 1)",-53.90216138337891,-4.958080591435783,-101.63661109206595,-4.957631446348395
"(1, 1)",-4.955416138096547,-4.956560817880514,-4.958249288711899,-4.955360155726378
"(2, 1)",-53.407392822536906,-52.360125564059516,-4.954469765301894,-4.951952968052169
"(3, 1)",-4.949908188215362,-52.10418272581269,-4.94930677069712,-4.949982168473752
"(3, 2)",-4.950234454681958,-4.951151007279934,-53.45152042362507,-47.03829737946449
"(1, 2)",-4.954193545744266,-4.955723637814292,-53.386928759358696,-53.41620210854772
"(1, 3)",-52.421633949256794,-4.954295202459744,-50.51835087182618,-25.0
"(4, 1)",-52.06734379737614,-54.01988497207377,-4.946816560002226,-4.947804908102558
"(3, 3)",-4.95132584139116,-4.95146154085233,-52.34540818423946,-53.201951887584286
"(5, 1)",-4.94462215937001,-53.62017069198694,-4.94531164010907,-4.944877150021663
"(5, 2)",-4.9426498914096415,-4.944735610190971,-53.28849131647607,-46.9211924423857
"(5, 3)",-46.804758747476725,-4.942697685109739,-50.14263672209776,-39.43415252842655
"(6, 1)",-39.627456548296244,-54.21006395289568,-4.943284455906596,-4.941434529755581
"(7, 1)",-4.93875479875246,-54.09974988213059,-4.939632558517971,-52.54412666328288
"(7, 2)",-4.935347000371645,-4.936195508387712,-53.47500055529126,-52.4568259435311
"(7, 3)",-53.55642130847241,-4.933186977392131,-53.73583550284534,-4.930749422684177
"(8, 3)",-54.05763738372359,-46.51019994102188,-4.931065571212645,-4.9261705730207925
"(9, 3)",-53.35724435896162,-4.921979374490112,-4.923485498794823,-4.921309186133378
"(10, 3)",-52.07440338076164,-46.982893735212755,-4.918556361005953,-4.915401747492105
"(11, 3)",-52.40474278535494,-54.29670035674592,-4.9159406607375224,-4.908797281626416
"(3, 4)",-4.94998891178017,-4.951830332988015,-53.74920241348764,-38.89499677363477
"(3, 5)",-4.949083505495405,-4.950151154740475,-50.105420531424045,-50.537357757273156
"(3, 6)",-4.951473985799351,-4.950485378408729,-54.08911924820008,-53.31274466082088
"(3, 7)",-4.952750552678696,-4.952778059315652,-4.954336169706522,-4.953452431672925
"(3, 8)",-4.952545369090757,-4.953973294537935,-53.88638577814612,-53.37973051858262
"(4, 7)",-54.106087221258136,-54.20697121028031,-4.95433525510588,-4.9565465215414815
"(2, 7)",-54.27419247196045,-54.350423294359175,-4.9553140456876825,-4.954397953031732
"(1, 7)",-52.92356069920186,-4.954039608214837,-53.38377897773803,-4.955366658808962
"(1, 6)",-4.954377528326494,-4.954763893747495,-46.69025173149761,-53.3311570889401
"(1, 5)",-4.955058726280298,-39.5676934315242,-39.52864672550663,-50.69845034392605
"(5, 7)",-4.956589174585339,-52.79661958773188,-4.956386058986322,-50.39515625680592
"(5, 8)",-4.958524385667694,-4.957887412375966,-53.22201018300221,-52.48799056853825
"(3, 9)",-4.9526457344374855,-4.953867643174221,-4.95163400786706,-51.998222232289194
"(3, 10)",-4.952596388393552,-4.952941867520244,-53.560111016503875,-54.14293083197578
"(2, 9)",-51.71827206418103,-52.30080998885245,-4.953817204114941,-4.953417955941775
"(5, 9)",-50.75043342979811,-4.958811234204504,-52.51168644796736,-4.959165460533187
"(6, 9)",-54.29626581876039,-51.97503748295405,-4.959663769812357,-4.9594073773053164
"(7, 9)",-39.608201584296864,-52.456623531975126,-4.959679231078717,-38.58081175266008
"(1, 9)",-25.0,-46.70605309654332,-46.94912031251387,-4.953932978116427
"(3, 11)",-4.952881461523505,-4.952958157019282,-53.758563369779864,-50.65986661704444
"(3, 12)",-4.951093361868233,-4.952999339249173,-53.47088270610131,-53.796512010555
"(3, 13)",-45.882908784009324,-4.9516293174750015,-4.95225096520393,-52.49699396610373
