,0,1,2,3
"(0, 0)",-4.979395019541137,-104.38342153115761,-103.58927053635064,-4.979397743188569
"(1, 0)",-4.978068302265212,-103.87865968006598,-4.978142758074446,-54.07850478237515
"(0, 1)",-54.18899695604236,-4.978910123972156,-103.0543665078892,-4.977945300214063
"(1, 1)",-4.976946988601464,-4.97768400205561,-4.9761369423604105,-4.975803120599756
"(2, 1)",-54.20619949674874,-53.94487357622389,-4.975543088255221,-4.972518562471109
"(3, 1)",-4.973055153232217,-53.87693628978022,-4.972411507048584,-4.967814375229002
"(3, 2)",-4.973329747213029,-4.972823869608582,-53.45152042362507,-50.75089050640845
"(1, 2)",-4.97725539829859,-4.977058461917106,-53.386928759358696,-53.41620210854772
"(1, 3)",-52.421633949256794,-4.977358086041447,-50.51835087182618,-25.0
"(4, 1)",-52.06734379737614,-54.35388363205225,-4.967907829412349,-4.96009702709329
"(3, 3)",-4.972651617880962,-4.973697143867128,-53.403380679380376,-53.830733090022406
"(5, 1)",-4.96542906362771,-54.03763145883194,-4.967798458369444,-4.949352363809483
"(5, 2)",-4.965825776653041,-4.965668501939286,-53.86843810937238,-46.9211924423857
"(5, 3)",-46.804758747476725,-4.965933528326584,-50.14263672209776,-39.43415252842655
"(6, 1)",-47.045760605546775,-54.33607162368326,-4.960366858935341,-4.934015044163358
"(7, 1)",-4.910302447096774,-54.41213439542523,-4.957990184446179,-52.54412666328288
"(7, 2)",-4.876721581733838,-4.9555666870814985,-53.47500055529126,-52.4568259435311
"(7, 3)",-53.55642130847241,-4.953640305252913,-54.089184472437935,-4.831142584813885
"(8, 3)",-54.05763738372359,-50.4739021495556,-4.942838355420028,-4.771396760713472
"(9, 3)",-53.35724435896162,-4.935131415307272,-4.936340414980808,-4.694825920611983
"(10, 3)",-52.07440338076164,-50.7081558831987,-4.9321188064885995,-4.5982792690274685
"(11, 3)",-52.40474278535494,-54.29670035674592,-4.923386983423388,-4.480086801610626
"(3, 4)",-4.972538050783015,-4.973194113855004,-54.10415234928941,-46.681458853636464
"(3, 5)",-4.972430671159216,-4.973757089304012,-50.105420531424045,-50.537357757273156
"(3, 6)",-4.972373142622997,-4.973659647165366,-54.28206419928863,-54.18314519963336
"(3, 7)",-4.974256212744577,-4.973576731329436,-4.974388178707681,-4.972314592934476
"(3, 8)",-4.973610609501829,-4.97415114843608,-53.88638577814612,-53.37973051858262
"(4, 7)",-54.42249000771365,-54.20697121028031,-4.973194201320726,-4.972170435519203
"(2, 7)",-54.27419247196045,-54.350423294359175,-4.974408558756034,-4.974206915917774
"(1, 7)",-53.69649994825399,-4.974629311520284,-54.2029577665206,-4.974794827046479
"(1, 6)",-4.974822952292634,-4.974845661086042,-53.498180246333376,-54.18052045312372
"(1, 5)",-4.974890047261571,-39.5676934315242,-39.52864672550663,-50.69845034392605
"(5, 7)",-4.973232644828773,-52.79661958773188,-4.973235555245918,-53.44669552986208
"(5, 8)",-4.974218612032829,-4.973848493840546,-53.845440298110226,-53.476889920877916
"(3, 9)",-4.972893160102,-4.974420857347194,-4.9728653861429795,-51.998222232289194
"(3, 10)",-4.972664008920921,-4.9733706711427486,-54.23803356213374,-54.30013379076499
"(2, 9)",-53.777953509704275,-53.38725859742574,-4.972488100575916,-4.973881985097212
"(5, 9)",-52.61264374167878,-4.974583481513625,-52.51168644796736,-4.973591855837229
"(6, 9)",-54.29626581876039,-53.22447312365361,-4.973988686885181,-4.973815767585096
"(7, 9)",-39.608201584296864,-52.456623531975126,-4.974081531836213,-38.58081175266008
"(1, 9)",-39.73543623398756,-46.70605309654332,-46.94912031251387,-4.973168480317967
"(3, 11)",-4.972110493443711,-4.973499998736095,-54.113887308800194,-50.65986661704444
"(3, 12)",-4.972737436737752,-4.973353301615255,-53.47088270610131,-53.796512010555
"(3, 13)",-45.882908784009324,-4.9734852526377935,-4.973066580085201,-52.49699396610373
"(2, 13)",-53.90515839913253,-54.24767094606807,-4.972964566906276,-4.973765803842993
"(1, 13)",-4.972841495210623,-4.972954922560369,-52.476013684560506,-4.9738199264172955
"(1, 12)",-4.973269752807035,-4.974539807111651,-49.21080153173398,-46.18907567087217
"(1, 11)",-4.974069672122473,-47.069910763633544,-50.73898637526961,-52.92733621913288
"(1, 14)",-4.9735248851610745,-4.973805635142769,-53.61845366358608,-53.43688066389882
"(1, 15)",-54.158861759570065,-4.974227824932101,-54.02432635505123,-4.97393717900586
"(2, 15)",-53.89669961878204,-49.85508871707991,-4.974683741805789,-4.974349328536277
"(3, 15)",-54.252099773586636,-53.49615204854983,-4.974825846714641,-4.974629375861232
"(4, 15)",-54.10566410034987,-54.25708934904794,-4.974941503258838,-4.974896485504699
"(5, 15)",-38.43364448941796,-37.8906421875,-4.975003947482909,-50.71547871006227
"(9, 2)",-4.936225306581939,-4.9352259743015,-38.751032849702895,-53.83089544654325
"(9, 1)",-4.9370276054313535,-38.66277761215749,-52.53299727440994,-4.935697247786516
"(10, 1)",-50.5657837778921,-50.660086120962674,-4.9372560971205175,-4.936378275304769
"(11, 1)",-50.61012176452789,-38.99902817424842,-4.937042043598272,-39.72005694614249
"(12, 3)",-54.32048558731309,-39.68261347673336,-4.912997548186366,-4.342464302556835
"(13, 3)",-4.1890631092709025,-4.90558938577902,-4.903062199812364,-4.910637785508981
"(13, 2)",-4.905774272399331,-4.905034390106337,-50.6646932222791,-53.24719874946338
"(14, 3)",-53.86176776796665,-52.27993147930691,-4.7967460358336265,-4.914858964220181
"(13, 4)",-4.001986124275358,-4.83222055454366,-53.86168038139712,-53.32325275379408
"(13, 5)",-3.8353895951107377,-4.440060897021448,-53.76299512608304,-4.886757498045604
