,0,1,2,3
"(13, 6)",-4.411400971890179,-4.415766226272856,-51.66497003218092,-51.914061367874545
"(15, 3)",-49.70191944195567,-38.53832691279926,-4.465306308213737,-45.056061004596145
"(14, 5)",-45.820281924157854,-45.06396797354601,-4.43293274185123,-4.427113951499569
"(15, 5)",-25.0,-39.358747576927016,-4.42721913564594,-39.44982701952035
"(13, 7)",-49.65192864225609,-4.406095945768267,-4.39465605986217,-4.439782105404207
"(12, 7)",-51.06678042177703,-52.6923575956686,-4.369231750752921,-4.3858961870560265
"(11, 7)",-4.371094225018263,-4.359100449075237,-52.51579916371027,-4.360198671208527
"(11, 6)",-4.381868781829191,-4.3545400360197295,-25.0,-49.66744696499022
"(11, 5)",-4.381511022758286,-38.463669259834795,-4.4127912759525785,-51.280945925181314
"(10, 5)",-39.33849256647193,-53.36396332964279,-4.419370496291059,-4.399942602059401
"(9, 5)",-4.425035427214132,-51.54673846575726,-4.404998370785848,-4.423912284853175
"(9, 6)",-4.416182768150465,-4.428955631930106,-50.14599145629769,-49.8752350682706
"(9, 7)",-51.44160537819001,-4.417690488362411,-4.419827919128751,-38.78108322700794
"(8, 7)",-39.075170732807564,-51.762819227057015,-4.426862601329684,-4.431868947935461
"(7, 7)",-25.0,-25.0,-46.33155954471378,-4.431085349429464
"(11, 8)",-4.350254539107537,-4.351309420049443,-25.0,-39.34853073040677
"(11, 9)",-39.072216755092015,-4.331497361964832,-38.95123758439915,-4.325150896073902
"(13, 1)",-4.449357706203093,-25.0,-38.98127600432355,-4.4391871565946985
"(14, 1)",-49.60449952021636,-46.190763509517836,-4.452504869226386,-4.434689972633119
"(15, 1)",-39.36912125427742,-48.93108465698646,-4.453818788139656,-4.449599719703173
"(16, 1)",-25.0,-25.0,-4.466253228544868,-4.458124754424853
"(17, 1)",-4.471655792036411,-45.77280697735897,-4.479911889502249,-4.462332615220258
"(18, 1)",-49.25451544566213,-45.88236638734131,-4.473885259670899,-4.45682979877725
"(19, 1)",-4.462311803559524,-53.0059766391833,-4.476201667961283,-4.467197318387887
"(20, 1)",-46.194267678092096,-39.49773255405124,-4.475394842658693,-4.465956846904743
"(19, 2)",-4.462029120971246,-4.476266128833948,-39.00183243234228,-49.67974486265685
"(19, 3)",-39.45070831571254,-4.475476508741591,-38.55198178508073,-25.0
"(17, 2)",-4.476165397147616,-4.483346436612562,-38.58876373469393,-50.26881129682045
"(17, 3)",-39.43725640062257,-4.482474705018875,-25.0,-38.2907072039209
"(21, 1)",-4.436120020155638,-49.70019621662211,-4.474784873061323,-49.933004193156215
"(21, 2)",-4.4315245743206715,-4.449324321658903,-45.85437765292677,-39.46889957073306
"(21, 3)",-4.434272663394746,-4.450528473762917,-46.58393303256127,-38.70160486201586
"(21, 4)",-4.444771144640427,-4.450243785415473,-51.53267525101824,-49.33009969711201
"(21, 5)",-4.4496291959299406,-4.450329226998161,-39.09882622882985,-51.761434499466944
"(14, 7)",-46.049922195824124,-45.14741844987615,-4.424862542727198,-4.444307226563794
"(15, 7)",-25.0,-25.0,-4.442927423752323,-46.43715240994275
"(8, 5)",-25.0,-39.275877692240876,-4.391024740378746,-4.4071787298875
"(7, 5)",-43.974999999999994,-37.832296875,-4.4249936672548085,-4.40230254886246
"(6, 5)",-46.21756989575365,-37.9482706640625,-4.392867383899693,-4.425513429789955
"(5, 5)",-38.925401982278366,-25.0,-39.17909959613318,-4.392774248211831
"(12, 9)",-25.0,-39.3604151366759,-4.297093335798317,-4.31283735086823
"(13, 9)",-4.295997335449213,-52.16821211228726,-4.298604650080854,-51.08517619564272
"(13, 10)",-4.2775769080953685,-4.285695269082698,-39.03425544971448,-25.0
"(13, 11)",-51.57783450514101,-4.2619121800541215,-4.2726716282232795,-4.275255384219341
"(12, 11)",-45.73212066677664,-25.0,-4.245974240189193,-4.224395455743435
"(14, 11)",-45.783117713580054,-52.65346052411355,-4.297260905241261,-4.309326890250324
"(15, 11)",-46.07015076336414,-4.303518644501474,-4.320036963489251,-4.301006470139772
"(15, 10)",-4.295440500613564,-4.305075191024132,-38.777739482010965,-38.14322623828125
"(15, 9)",-4.311583420981367,-48.98979045448107,-37.810781250000005,-4.308845638716697
"(16, 11)",-51.06386174443318,-38.9328920341899,-4.32526352628401,-4.285411879632909
"(17, 11)",-50.938520526078165,-46.25538298602194,-4.302122176402268,-39.251676268187595
"(16, 9)",-46.000961365191046,-49.312834878799634,-4.3143226047576295,-4.3039517996090195
"(17, 9)",-39.05272437870289,-4.296749328183002,-4.318857360333412,-50.740044102335595
"(17, 8)",-4.321180715485848,-4.300242152504467,-39.08727597549218,-45.02960976386312
"(17, 7)",-4.323809548210013,-4.310759429363872,-46.56039659571853,-45.621426773289905
"(17, 6)",-4.325260969386976,-4.319750085252007,-38.66062996115927,-51.537551999049604
"(17, 5)",-4.3256178448910925,-46.22123520825467,-38.86339403193408,-4.3215989954977285
"(18, 5)",-25.0,-25.0,-4.3305735521693975,-4.326532847354951
"(19, 5)",-39.39397420718247,-45.68098441466087,-4.332290496482679,-25.0
"(11, 11)",-4.250688175798269,-45.69056961820745,-4.250754543708002,-4.206167190270729
"(10, 11)",-25.0,-25.0,-4.250735156020109,-4.253777606892166
"(11, 12)",-4.227558050080017,-4.231498298304053,-45.90700939775732,-38.97551666324402
"(9, 11)",-25.0,-4.233371795719719,-49.606821307357215,-4.264804155742169
"(9, 10)",-4.259479009891207,-4.224525401924607,-25.0,-51.17755558683751
"(9, 9)",-4.238150210910326,-39.22461639142891,-25.0,-45.623447419666064
"(11, 13)",-46.006398141298476,-4.209808766260133,-4.200503229174332,-4.196595545990988
"(10, 13)",-45.749065143250206,-49.863894837209514,-4.203667775011722,-4.203813567494098
"(9, 13)",-45.71771164425374,-49.63292567756243,-39.30916694449593,-4.206055112686633
"(12, 13)",-51.70654911937551,-45.864244235925675,-4.182374734502418,-4.165170538235156
"(13, 13)",-4.139209368780297,-39.329306398152056,-4.1434610896101445,-4.118070548205945
"(14, 13)",-50.45775475025392,-45.46326911912676,-4.122627895941904,-4.127660675293223
"(13, 14)",-4.118853423373813,-4.106835512531277,-25.0,-39.30139228435584
"(15, 13)",-39.3382074713015,-45.83298883150407,-4.1283349361267145,-44.757641775634525
"(13, 15)",-49.44605422878023,-4.128294697863613,-4.0654626833393595,-4.065868532271656
"(14, 15)",-38.525854114138056,-45.43927284341909,-4.089379309103586,-4.053968863039733
"(15, 15)",-25.0,-25.0,-4.082802585610251,-4.053562872489625
"(12, 15)",-46.29794045924479,-25.0,-4.04452142638036,-4.0211928387633
"(11, 15)",-3.9917479800719917,-51.123881729982784,-3.9902835702100417,-4.032339014764649
"(16, 15)",-49.92812544259967,-38.10096984960937,-4.065478819022981,-4.021073099461785
"(17, 15)",-25.0,-25.0,-4.014603528723322,-37.5
"(10, 15)",-25.0,-49.34957479652874,-3.9583653819276448,-4.001858480675398
"(9, 15)",-44.13109375,-38.01266953125,-3.963949605481905,-3.9773007489202494
"(11, 16)",-3.9308946827452687,-3.973271250632836,-51.53621719038049,-51.38054758834681
"(11, 17)",-45.159903810674194,-3.8697090714906777,-3.8675031452379542,-3.8711033149944116
"(10, 17)",-25.0,-39.19022443132337,-3.823099979423084,-3.868616126073398
"(9, 17)",-3.8326361662473323,-52.01437372937173,-37.719375,-3.830212108918124
"(9, 18)",-3.8399127422149566,-3.8371898036650927,-44.4111625,-25.0
"(9, 19)",-38.78399052787812,-3.8422713559823465,-25.0,-25.0
"(12, 17)",-45.01197184726442,-51.25564263236907,-3.821119089329943,-3.801917639819987
"(13, 17)",-3.722169868070436,-49.280172685679574,-3.738016172289554,-39.13726418477367
"(13, 18)",-3.595309945640367,-3.6874033862062996,-44.97141303345036,-44.89765234755002
"(13, 19)",-3.3186449278799497,-3.497198616421505,-3.5150020239216473,-25.0
"(12, 19)",-38.39578683921313,-45.77364677184941,-3.4946880153722026,-3.5285638541403586
"(13, 20)",-2.625020843789245,-3.4074731351416925,-49.39357795306032,-44.77138989454154
"(8, 15)",-39.12372168859031,-39.2162657101476,-3.960286417176971,-3.9958557235890955
"(7, 15)",-3.9951226079288387,-3.9564213109780293,-38.90495054092841,-3.99912487980567
"(7, 14)",-3.9881375978603426,-3.9608798256476794,-38.92819982623706,-45.947190509375474
"(7, 13)",-3.993077831257654,-3.9652568611504435,-3.9895971567578474,-52.3780820219056
"(6, 13)",-25.0,-38.518375325167625,-3.9535831861841113,-3.9952982368823013
"(7, 16)",-3.975203529866993,-4.0060104971299575,-39.03913808139747,-25.0
"(7, 17)",-3.9989052497072723,-3.9839071205291083,-37.74215625,-45.9144038391708
"(7, 18)",-4.003208710190552,-4.005805834969839,-45.79039158913973,-25.0
"(7, 19)",-49.22657076214821,-4.010745003730804,-4.004787298500654,-37.844953125
"(6, 19)",-50.72617350739269,-49.20688413681356,-4.0006129812811,-4.01233718549239
"(5, 19)",-4.001024590502663,-4.039826047033012,-3.9869755467589583,-4.016350380215695
"(5, 20)",-4.0052242041940795,-4.013091557220956,-25.0,-49.42501330865373
"(5, 21)",-48.862367266571646,-4.00970779807243,-25.0,-4.01892803277747
"(6, 21)",-48.719690000258716,-25.0,-4.019771034065378,-3.975318527178581
"(4, 19)",-37.86028125,-38.062181449218755,-4.028645665372128,-4.011636306331321
"(5, 18)",-4.031084944185659,-4.046381124165503,-51.07839622308062,-39.24986352294583
"(5, 17)",-4.058728010651201,-44.93604006608555,-4.020875916928937,-48.41092150438456
"(3, 19)",-4.022849718534551,-25.0,-38.495813179870574,-4.038064800435132
"(4, 17)",-39.18248103195258,-45.116579190727435,-3.966807138428254,-4.0380821568274445
"(3, 17)",-25.0,-49.524603237182944,-3.9671320948281976,-4.010898343525617
"(2, 17)",-39.261404644749796,-46.25466324084816,-3.971546586501216,-4.006419273637403
"(7, 21)",-49.31621764176115,-38.0141977734375,-3.9802340832028804,-3.9794163486221183
"(8, 21)",-25.0,-39.024267551286165,-3.985958469454685,-4.034877380261665
"(9, 21)",-45.956786235585554,-37.5,-4.013798305132299,-25.0
"(3, 20)",-4.0125135674565025,-4.025719142494324,-48.438967316873615,-37.5
"(3, 21)",-39.124799353082956,-4.014123406503514,-38.257615418635254,-25.0
"(1, 17)",-3.976891939241986,-37.9604625,-38.56029737989611,-4.0017249936061114
"(1, 18)",-3.979709508564466,-3.9981967905328917,-46.05713705737484,-51.59345053484266
"(1, 19)",-3.981673500561765,-3.9925130175323376,-48.94098461735932,-49.77519865624159
"(1, 20)",-3.984021721397427,-3.986848522051228,-46.044250888674654,-25.0
"(1, 21)",-39.21675846890284,-3.984995714379298,-25.0,-38.634573672086766
"(7, 12)",-3.9753641883354867,-3.9671794318103246,-44.92400489565384,-38.726681442575185
"(5, 13)",-38.91019714128734,-38.757203779873024,-38.38018538487671,-3.9585305803204163
