,0,1,2,3
"(0, 0)",-4.890298909506412,-104.17729319680737,-100.94285079694589,-4.892155666772304
"(1, 0)",-4.889722587945417,-103.28681865935562,-4.889463967899222,-52.92313574734016
"(0, 1)",-53.90216138337891,-4.890305714388486,-101.63661109206595,-4.8896448232609595
"(1, 1)",-4.886602631671346,-4.884738337577508,-4.889333213796791,-4.887663918458997
"(2, 1)",-52.40128631955717,-52.360125564059516,-4.883451861547378,-4.884528562299128
"(3, 1)",-4.879007804995154,-52.10418272581269,-4.882518544754272,-4.88137212517034
"(3, 2)",-4.880815839057469,-4.882273116048766,-52.477130711648655,-39.62516203776933
"(1, 2)",-4.884310561110794,-4.889822451879107,-52.3717363642205,-50.38969588135605
"(1, 3)",-50.419020203641665,-4.8868676592519105,-50.51835087182618,-25.0
"(4, 1)",-52.06734379737614,-54.01988497207377,-4.879410806119383,-4.875483413209974
"(3, 3)",-4.88127293158861,-4.88400711958834,-50.24351377164115,-51.99003273583641
"(5, 1)",-4.868265513387586,-53.62017069198694,-4.874170882771494,-4.869815098985905
"(5, 2)",-4.861782393492707,-4.868857057685833,-52.18872184190421,-46.9211924423857
"(5, 3)",-46.804758747476725,-4.861809909202256,-45.88271512589228,-39.43415252842655
"(6, 1)",-39.627456548296244,-54.01472225444935,-4.8688662272097,-4.86526755944719
"(7, 1)",-4.861732146554823,-53.11507160964824,-4.862522160205099,-46.89382169887786
"(7, 2)",-4.861771967631401,-4.8597413320800635,-50.61916872192465,-52.4568259435311
"(7, 3)",-50.93964423895146,-4.860353367861018,-53.077751291653,-4.857966926351481
"(8, 3)",-53.68435549731072,-46.51019994102188,-4.856064991381485,-4.850400175200823
"(9, 3)",-45.96255502506165,-4.845705473347435,-4.855141529707497,-4.844139524720253
"(10, 3)",-45.117219860217396,-46.982893735212755,-4.840925309270455,-4.838854337239216
"(11, 3)",-46.51549540407993,-53.81031815149569,-4.836288570638386,-4.834731321188396
"(3, 4)",-4.882046354734129,-4.885343962800503,-53.089679119970356,-38.89499677363477
