,0,1,2,3
"(0, 0)",-4.93738233444661,-104.29199807692704,-100.94285079694589,-4.937125294934988
"(1, 0)",-4.934566277664597,-103.28681865935562,-4.937248807329757,-52.92313574734016
"(0, 1)",-53.90216138337891,-4.935855142667165,-101.63661109206595,-4.935542131051777
"(1, 1)",-4.930978957358637,-4.936842337606738,-4.933576510516719,-4.932334311113486
"(2, 1)",-53.407392822536906,-52.360125564059516,-4.930819185228089,-4.928406398933214
"(3, 1)",-4.927539312592266,-52.10418272581269,-4.9273938611444805,-4.924641243505128
"(3, 2)",-4.92913568077172,-4.927776252414004,-53.45152042362507,-39.62516203776933
"(1, 2)",-4.931336097756327,-4.931138401397257,-53.386928759358696,-53.41620210854772
"(1, 3)",-52.421633949256794,-4.931446218917124,-50.51835087182618,-25.0
"(4, 1)",-52.06734379737614,-54.01988497207377,-4.923263486272969,-4.920474050816516
"(3, 3)",-4.928575310895351,-4.9303789097552295,-50.24351377164115,-53.201951887584286
"(5, 1)",-4.91744581488353,-53.62017069198694,-4.919222038441779,-4.917994004377155
"(5, 2)",-4.921876054044601,-4.917886436017675,-53.28849131647607,-46.9211924423857
"(5, 3)",-46.804758747476725,-4.918340562488436,-50.14263672209776,-39.43415252842655
"(6, 1)",-39.627456548296244,-54.21006395289568,-4.916490671178102,-4.915722701285103
"(7, 1)",-4.913399678389823,-53.11507160964824,-4.91529850280323,-50.64616800096911
"(7, 2)",-4.908802018229401,-4.91179918760578,-52.513974713148514,-52.4568259435311
"(7, 3)",-50.93964423895146,-4.906619807259387,-53.73583550284534,-4.903671110152139
"(8, 3)",-53.68435549731072,-46.51019994102188,-4.89917650465146,-4.902019280779131
"(9, 3)",-52.28762346155217,-4.896128881069139,-4.900679594246978,-4.896561187536559
"(10, 3)",-49.7443465026185,-46.982893735212755,-4.8945581951229435,-4.891556712140421
"(11, 3)",-52.40474278535494,-54.29670035674592,-4.892230921555766,-4.884591946769358
"(3, 4)",-4.928090411904033,-4.930565839010242,-53.74920241348764,-38.89499677363477
"(3, 5)",-4.9282240392192875,-4.929907640954633,-50.105420531424045,-50.537357757273156
"(3, 6)",-4.928029226619968,-4.929957339089652,-54.08911924820008,-52.18229070160035
"(3, 7)",-4.929133841007851,-4.930180062330214,-4.927609435236338,-4.927075793227537
"(3, 8)",-4.929562286912774,-4.930420148305493,-52.18789063925292,-53.37973051858262
"(4, 7)",-53.75503069800198,-54.20697121028031,-4.928267326695108,-4.927036042225781
"(2, 7)",-54.10373214797973,-54.26351672300791,-4.926467085468412,-4.928246799686284
"(1, 7)",-52.92356069920186,-4.9269621660485186,-52.31683164348502,-4.927899027719788
"(1, 6)",-4.9286448333962305,-4.927795992138983,-46.69025173149761,-53.3311570889401
"(1, 5)",-4.928602375813148,-39.5676934315242,-39.52864672550663,-50.69845034392605
"(5, 7)",-4.9272475900501895,-52.79661958773188,-4.927676185052846,-50.39515625680592
"(5, 8)",-4.9273010624900095,-4.926863330318913,-52.00644959642388,-52.48799056853825
"(3, 9)",-4.929183208203466,-4.930667335186147,-4.9302955872787155,-51.998222232289194
"(3, 10)",-4.927362930093873,-4.930865432365008,-53.560111016503875,-53.83460686824263
"(2, 9)",-51.71827206418103,-52.30080998885245,-4.930967565091205,-4.930991893763235
"(5, 9)",-47.05150924571217,-4.9282161967405465,-46.66716433883484,-4.926630349284073
"(6, 9)",-54.13324364984021,-51.97503748295405,-4.928131885543212,-4.925689502166646
"(7, 9)",-39.608201584296864,-52.456623531975126,-4.926853562594478,-38.58081175266008
