,0,1,2,3
"(0, 0)",-3.785107885437579,-76.42191905420603,-50.0,-3.7453574667417766
"(1, 0)",-3.740720007352033,-50.0,-3.7795582087773685,-49.2493581379665
"(0, 1)",-38.18421489301758,-3.7525704298486966,-95.13142973365647,-3.76351856035674
"(1, 1)",-3.745047143171453,-3.754398148288474,-3.743887226968937,-3.800281953980087
"(2, 1)",-39.0357615966189,-39.042278874991915,-3.7858479314910043,-3.784097507373942
"(3, 1)",-3.738606902771588,-37.7475,-3.817247560720312,-3.770110114643198
"(3, 2)",-3.7218211701141852,-3.779157231365943,-48.1063284456075,-25.0
"(1, 2)",-3.7276050181733074,-3.752479071671174,-25.0,-38.767156262306784
"(1, 3)",-38.77460157172613,-3.729510685719384,-39.090853865674546,-25.0
"(4, 1)",-38.44832215460868,-49.08432446203378,-3.746465095991394,-3.777430448697163
"(3, 3)",-3.7142226041476416,-3.7628478262968263,-39.04592556456559,-45.18626621881061
"(5, 1)",-3.7299236306698598,-49.193506736105626,-3.7909511578210005,-3.7367697486564646
"(5, 2)",-3.7147597249981548,-3.7667013378859715,-45.779767513023536,-25.0
"(5, 3)",-25.0,-3.7422718553085037,-38.320890026953634,-25.0
"(6, 1)",-25.0,-45.458358508153864,-3.7186039109248257,-3.698263219952667
"(7, 1)",-3.673501995853292,-45.84520314604314,-3.691412045912117,-25.0
"(7, 2)",-3.665432108273084,-3.664011402229536,-25.0,-25.0
"(7, 3)",-50.93964423895146,-3.649144697656809,-45.54660388817575,-3.6262378255214394
"(8, 3)",-45.32838530613439,-39.088926942328975,-3.5873120118003072,-3.632194510821384
"(9, 3)",-45.96255502506165,-3.54594467160804,-3.623166394916511,-3.5969063105092514
"(10, 3)",-45.117219860217396,-25.0,-3.5612899223541072,-3.6209294429322116
"(11, 3)",-38.77041390629733,-25.0,-3.602914830756988,-3.6503195440133367
"(3, 4)",-3.7038873658673266,-3.755296717359734,-44.947864239386604,-38.89499677363477
"(3, 5)",-3.7663450964793417,-3.751940698674323,-37.8438140625,-25.0
"(3, 6)",-3.762021075945321,-3.7782964144515097,-45.85075849722897,-37.945388203125
"(3, 7)",-3.7599685238270713,-3.804573605052161,-3.7702860186556615,-3.7742681009620993
"(3, 8)",-3.7685050605445984,-3.7784213651094394,-38.126907744140624,-39.177189885450275
"(4, 7)",-49.40804708271254,-37.966790625,-3.779962529051617,-3.7225852346567256
"(2, 7)",-52.741553748995635,-50.587249144522346,-3.744806211056545,-3.7994309932516193
"(1, 7)",-45.87071092429409,-3.7263815543823777,-50.54712533886885,-3.7890472054004283
"(1, 6)",-3.7580052218831064,-3.7350446565971263,-39.01414459044377,-38.030685703125
"(1, 5)",-3.737626355822632,-25.0,-25.0,-25.0
"(5, 7)",-3.7354247744585214,-44.87026300792111,-3.75239956302768,-38.524144261755964
"(5, 8)",-3.7677216092602483,-3.769719271945262,-38.71144023322183,-25.0
"(3, 9)",-3.7545575128326303,-3.7934485743014497,-3.7961100995371186,-45.536910897390236
"(3, 10)",-3.739960861059259,-3.785539538126571,-49.085816904712516,-45.702604723283585
"(2, 9)",-44.789320087385256,-38.53262105214155,-3.8109528892641373,-3.801742869713948
"(5, 9)",-25.0,-3.804721563058636,-38.941432638416146,-3.8315593721352412
"(6, 9)",-39.08167359777402,-45.428823236752535,-3.8447637886063792,-3.7999676622698093
"(7, 9)",-25.0,-39.14443907733192,-3.805024456116101,-38.58081175266008
"(1, 9)",-25.0,-39.16050987304699,-25.0,-3.8118518197554776
"(3, 11)",-3.7592904434657193,-3.7731489492563877,-49.212793691263364,-25.0
"(3, 12)",-3.7828655529025212,-3.7771191275686626,-47.82764984083008,-45.64041563835768
