,0,1,2,3
"(0, 0)",-0.60625,-50.0,-50.0,-0.538125
"(1, 0)",-0.54375,-50.0,-0.4875,-25.0
"(0, 1)",-25.0,-0.6,-75.0,-0.60625
"(1, 1)",-0.375,-0.375,-0.594375,-0.60625
"(2, 1)",-25.0,-25.0,-0.4875,-0.60625
"(3, 1)",-0.55,-25.0,-0.375,-0.60625
"(3, 2)",-0.60625,-0.6625,-44.0790625,-25.0
"(1, 2)",-0.375,-0.538125,-25.0,-25.0
"(1, 3)",-25.0,-0.375,-25.0,-25.0
"(4, 1)",-25.0,-25.0,-0.54375,-0.60625
"(3, 3)",-0.60625,-0.7693749999999999,-25.0,-25.0
"(5, 1)",-0.55,-25.0,-0.594375,-0.6625
"(5, 2)",-0.7612187499999998,-0.7384375,-25.0,-25.0
"(5, 3)",-25.0,-0.78934375,-25.0,-25.0
"(6, 1)",-25.0,-25.0,-0.54375,-0.55
"(7, 1)",-0.60625,-25.0,-0.538125,-25.0
"(7, 2)",-0.55,-0.6,-25.0,-25.0
"(7, 3)",-25.0,-0.538125,-25.0,-0.4375
"(8, 3)",-25.0,-25.0,-0.54375,-0.60625
"(9, 3)",-25.0,-0.375,-0.54375,-0.55
"(10, 3)",-25.0,-25.0,-0.4875,-0.656875
"(11, 3)",-25.0,-25.0,-0.54375,-0.6625
"(3, 4)",-0.60625,-0.7890625,-25.0,-25.0
"(3, 5)",-0.7049687499999999,-0.7640312499999999,-25.0,-25.0
"(3, 6)",-0.60625,-0.7918749999999999,-25.0,-25.0
"(3, 7)",-0.656875,-0.6821875,-0.60625,-0.55
"(3, 8)",-0.60625,-0.73590625,-25.0,-25.0
"(4, 7)",-25.0,-25.0,-0.6625,-0.60625
"(2, 7)",-25.0,-25.0,-0.55,-0.690625
"(1, 7)",-25.0,-0.25,-25.0,-0.7637499999999999
"(1, 6)",-0.25,-0.25,-25.0,-25.0
"(1, 5)",-0.25,0.0,0.0,-25.0
"(5, 7)",-0.656875,-37.5,-0.7665625,-25.0
"(5, 8)",-0.60625,-0.7893437499999999,-25.0,-25.0
"(3, 9)",-0.55,-0.74125,-0.55,-25.0
"(3, 10)",-0.60625,-0.7665624999999999,-25.0,-25.0
"(2, 9)",-25.0,-25.0,-0.538125,-0.6625
"(5, 9)",-25.0,-0.7384374999999999,-25.0,-0.55
"(6, 9)",-25.0,-37.5,-0.74125,-0.7075
"(7, 9)",-25.0,-25.0,-0.7946875,-25.0
"(1, 9)",-25.0,-25.0,-25.0,-0.650625
"(3, 11)",-0.55,-0.7665624999999999,-25.0,-25.0
"(3, 12)",-0.55,-0.7384374999999999,-37.6125,-25.0
"(3, 13)",-25.0,-0.74125,-0.60625,-25.0
"(2, 13)",-25.0,-25.0,-0.60625,-0.7918749999999999
"(1, 13)",-0.84871875,-0.60625,-25.0,-0.7893437499999999
"(1, 12)",-0.6821875,-0.375,-25.0,-25.0
"(1, 11)",-0.54375,-25.0,-25.0,-37.5
"(1, 14)",-0.7978125,-0.8653124999999999,-25.0,-25.0
"(1, 15)",-37.5,-0.9794999999999999,-25.0,-0.92746875
"(2, 15)",-25.0,-25.0,-1.026328125,-0.879375
"(3, 15)",-37.831157812499995,-25.0,-0.9959390625,-0.7725
"(4, 15)",-25.0,-25.0,-0.9377203125,-0.7612187499999998
"(5, 15)",-25.0,-25.0,-0.8680937499999999,-25.0
"(9, 2)",-0.54375,-0.375,-25.0,-25.0
"(9, 1)",-0.538125,-25.0,-25.0,-0.375
"(10, 1)",-25.0,-25.0,-0.54375,-0.375
"(11, 1)",-25.0,-25.0,-0.594375,-25.0
"(12, 3)",-25.0,-25.0,-0.4875,-0.60625
"(13, 3)",-0.60625,-0.55,-0.4875,-0.8765624999999999
"(13, 2)",-0.6625,-0.60625,-25.0,-25.0
"(14, 3)",-25.0,-25.0,-0.75,-0.713125
"(13, 4)",-0.60625,-0.54375,-25.0,-25.0
"(13, 5)",-0.55,-0.538125,-25.0,-0.4875
"(13, 6)",-0.656875,-0.4875,-25.0,-25.0
"(15, 3)",-25.0,-25.0,-0.713125,-25.0
"(14, 5)",-25.0,-25.0,-0.54375,-0.375
"(15, 5)",-25.0,-25.0,-0.538125,-25.0
"(13, 7)",-25.0,-0.6,-0.60625,-0.60625
"(12, 7)",-25.0,-25.0,-0.60625,-0.4875
"(11, 7)",-0.60625,-0.60625,-37.6125,-0.594375
"(11, 6)",-0.74125,-0.55,-25.0,-25.0
"(11, 5)",-0.7384374999999999,-25.0,-0.60625,-37.719375
"(10, 5)",-25.0,-25.0,-0.7725000000000001,-0.7665625
"(9, 5)",-0.866875,-25.0,-0.8259375,-0.90215625
"(9, 6)",-0.9629062500000001,-0.93578125,-25.0,-25.0
"(9, 7)",-25.0,-1.0457343749999999,-0.84871875,-25.0
"(8, 7)",-25.0,-25.0,-0.9095953125,-0.93871875
"(7, 7)",-25.0,-25.0,-25.0,-0.974296875
